company_name,nse_symbol,listing_date,issue_price,listing_price,issue_size_crores,QIB,HNI,RII,Total,pop_pct
ESAF Small Finance Bank Limited,ESAFSFB,2023-11-10,60,71.9,463.0,173.52,84.37,16.97,73.15,19.833333333333343
Honasa Consumer Limited (Mamaearth),HONASA,2023-11-07,324,324.0,1701.44,11.5,4.02,1.35,7.61,0.0
Cello World Limited,CELLO,2023-11-06,648,831.0,1900.0,108.57,24.42,3.06,38.9,28.240740740740737
Blue Jet Healthcare Limited,BLUEJET,2023-11-01,346,359.9,840.27,13.72,13.59,2.24,7.95,4.017341040462421
IRM Energy Limited,IRMENERGY,2023-10-26,505,479.0,544.36,44.73,48.34,9.29,27.05,-5.148514851485149
Plaza Wires Limited,PLAZACABLE,2023-10-12,54,84.0,71.28,42.84,388.09,374.81,160.97,55.55555555555556
Valiant Laboratories Limited,VALIANTLAB,2023-10-06,140,161.0,152.46,20.83,73.64,16.06,29.76,15.0
JSW Infrastructure Limited,JSWINFRA,2023-10-03,119,143.0,2800.0,57.09,15.99,10.32,37.37,20.168067226890756
Updater Services Limited,UDS,2023-10-04,300,299.9,640.0,4.48,0.85,1.39,2.9,-0.03333333333334091
Manoj Vaibhav Gems,MVGJL,2023-10-03,215,215.0,270.2,1.06,5.18,1.66,2.25,0.0
Signature Global India Limited,SIGNATURE,2023-09-27,385,445.0,730.0,12.71,13.54,6.82,11.88,15.584415584415584
Sai Silks (Kalamandir) Limited,KALAMANDIR,2023-09-27,222,230.1,1201.0,12.35,2.47,0.88,4.4,3.648648648648646
Yatra Online Limited,YATRA,2023-09-28,142,130.0,775.0,2.05,0.42,2.11,1.61,-8.450704225352112
Samhi Hotels Limited,SAMHI,2023-09-22,126,130.55,1370.1,8.82,1.22,1.11,5.33,3.6111111111111196
Zaggle Prepaid Ocean Limited,ZAGGLE,2023-09-22,164,162.0,563.38,16.73,8.85,5.94,12.57,-1.2195121951219512
R R Kabel Limited,RRKABEL,2023-09-20,1035,1179.0,1964.01,52.26,13.23,2.13,18.69,13.91304347826087
EMS Limited,EMSLIMITED,2023-09-21,211,281.55,321.25,0.67,29.73,16.62,15.05,33.43601895734597
Jupiter Life Line Limited,JLHL,2023-09-18,735,960.0,869.08,187.32,34.75,7.73,63.72,30.612244897959183
Ratnaveer Precision Limited,RATNAVEER,2023-09-11,98,128.0,165.03,133.05,135.21,54.01,93.99,30.612244897959183
